Ultimate.Parent	Shareholder	Shareholder.Region	Shareholder.Category
Kenanga Investment Bank Bhd.	Kenanga Islamic Investors Bhd.	Asia	Financial investor
Birdsong Capital LLC	Boston Advisors LLC	North America	Financial investor
State Street Corp.	State Street Global Advisors Ireland Ltd.	Europe	Financial investor
Franklin Resources, Inc.	Franklin Templeton Investments (Asia) Ltd.	Asia	Financial investor
Guggenheim Capital LLC	Guggenheim Partners Investment Management LLC	North America	Financial investor
Fukoku Mutual Life Insurance Co.	Fukoku Capital Management, Inc.	Asia	Financial investor
S&P Global, Inc.	Standard & Poor's Investment Advisory Services LLC (Inv Mgmt)	North America	Financial investor
IFDC Ltd.	IFDC Ltd.	Europe	Financial investor
Royal Bank of Canada	RBC Investment Management (Asia) Ltd.	Asia	Financial investor
Wright Investors' Service Holdings, Inc.	Wright Investors' Service, Inc.	North America	Financial investor
Pacer Advisors, Inc.	Pacer Advisors, Inc.	North America	Financial investor
Van Lanschot Kempen NV	Kempen Capital Management NV	Europe	Financial investor
Chibagin Asset Management Co. Ltd.	Chibagin Asset Management Co. Ltd.	Asia	Financial investor
Bellevue Group AG	StarCapital AG	Europe	Financial investor
Schroders Plc	Schroder Investment Management (Japan) Ltd.	Asia	Financial investor
TIAA Board of Overseers	Santa Barbara Asset Management LLC	North America	Financial investor
Jackson Square Partners LLC	Jackson Square Partners LLC	North America	Financial investor
Morningstar Japan K.K.	SBI Asset Management Co., Ltd.	Asia	Financial investor
Hauck & Aufhauser Banquiers Luxembourg SA	Hauck & Aufhauser Investment Gesellschaft SA	Europe	Financial investor
Resona Holdings, Inc.	Resona Bank Ltd. (Investment Management)	Asia	Financial investor
Assicurazioni Generali SpA	Generali Investments Europe SpA SGR (France)	Europe	Financial investor
UBS Group AG	UBS Asset Management (Japan) Ltd.	Asia	Financial investor
PEH Wertpapier AG	PEH Wertpapier AG (Germany)	Europe	Financial investor
Wellington Management Group LLP	Wellington Management Hong Kong Ltd.	Asia	Financial investor
Cat Holding AG	Asserta Asset Management AG	Europe	Financial investor
Lal Holdings LLC	Manifold Fund Advisors LLC	North America	Financial investor
GPS Asset Management LLC	Chiron Investment Management LLC	North America	Financial investor
Kopernik Global Investors LLC	Kopernik Global Investors LLC	North America	Financial investor
GSP asset management GmbH	GSP asset management GmbH	Europe	Financial investor
Sompo Holdings, Inc.	Sompo Japan Nipponkoa Asset Management Co., Ltd.	Asia	Financial investor
Sawakami Holdings, Inc.	Sawakami Asset Management, Inc.	Asia	Financial investor
BPCE SA	Ecofi Investissements SA	Europe	Financial investor
Sumitomo Mitsui Trust Holdings, Inc.	Sumitomo Mitsui Trust Bank, Ltd. (Investment Management)	Asia	Financial investor
Alpha Japan Asset Advisors Ltd.	Alpha Japan Asset Advisors Ltd.	Asia	Financial investor
BPCE SA	Natixis Asset Management U.S., LLC	North America	Financial investor
FRISCHKNECHT BEAT	Ahead Wealth Solutions AG	Europe	Financial investor
ASPOMA Holding AG	ASPOMA Asset Management GmbH	Europe	Financial investor
Lingohr & Partner Asset Management GmbH	Lingohr & Partner Asset Management GmbH	Europe	Financial investor
Principal Holding AG	Principal Vermogensverwaltung AG	Europe	Financial investor
Edinburgh Partners Ltd.	Edinburgh Partners Ltd.	Europe	Financial investor
Oldfield & Co. (London) Ltd.	Oldfield Partners LLP	Europe	Financial investor
The Goldman Sachs Group, Inc.	Goldman Sachs Asset Management Co. Ltd. (Japan)	Asia	Financial investor
Massachusetts Mutual Life Insurance Co.	Baring Asset Management (Asia) Ltd.	Asia	Financial investor
IS Holdings Co., Ltd.	Rheos Capital Works, Inc.	Asia	Financial investor
ORIX Corp.	Robeco Hong Kong Ltd.	Asia	Financial investor
Lazard Ltd.	Lazard Japan Asset Management KK	Asia	Financial investor
China Securities Finance Corp. Ltd.	China Securities Finance Corp. Ltd.	Asia	Financial investor
BNP Paribas SA	Alfred Berg Kapitalforvaltning AB	Europe	Financial investor
The Vanguard Group, Inc.	The Vanguard Group, Inc.	North America	Financial investor
Reyl & Cie SA	RAM Active Investments SA	Europe	Financial investor
Nye Beringer Finance AS	Fondsfinans Kapitalforvaltning ASA	Europe	Financial investor
Svenska Handelsbanken AB	Handelsbanken Fonder AB	Europe	Financial investor
Catella AB	Catella Fondforvaltning AB	Europe	Financial investor
Banco de Chile SA	Banchile Administradora General de Fondos SA	Latin America	Financial investor
KD Group dd	KD Funds Management Co LLC	Europe	Financial investor
Cadre Invest SA	East Capital AB	Europe	Financial investor
Simplicity AB	Simplicity AB	Europe	Financial investor
Tendercapital Ltd.	Tendercapital Ltd.	Europe	Financial investor
Kredittforeningen Landkreditt	Landkreditt Forvaltning AS	Europe	Financial investor
Caprifol AB	Caprifol AB	Europe	Financial investor
JPMorgan Chase & Co.	JPMorgan Investment Management, Inc.	North America	Financial investor
Fondsforvaltning AS	Fondsforvaltning AS	Europe	Financial investor
Eika Gruppen AS	Eika Kapitalforvaltning AS	Europe	Financial investor
Causeway Capital Holdings LLC	Causeway Capital Management LLC	North America	Financial investor
State Street Corp.	SSgA Funds Management, Inc.	North America	Financial investor
Sun Life Financial, Inc.	Massachusetts Financial Services Co.	North America	Financial investor
Mawer Investment Management Ltd.	Mawer Investment Management Ltd.	North America	Financial investor
Seed Investment Consultants (Pty) Ltd.	Seed Investment Consultants (Pty) Ltd.	Africa	Financial investor
Macquarie Group Ltd.	Macquarie Investment Management Business Trust	North America	Financial investor
Ameriprise Financial, Inc.	Columbia Management Investment Advisers LLC	North America	Financial investor
Invesco Ltd.	Invesco Canada Ltd.	North America	Financial investor
Wellington Management Group LLP	Wellington Management Co. LLP	North America	Financial investor
Van Eck Associates Corp.	Van Eck Associates Corp.	North America	Financial investor
FIL Ltd.	FIL Investment Advisors (UK) Ltd.	Europe	Financial investor
Russell Investment Management LLC	Russell Investment Management LLC	North America	Financial investor
Psagot Investment House Ltd.	Psagot Mutual Funds Ltd.	Middle East	Financial investor
pb Asset Management GmbH	pb Asset Management GmbH	Europe	Financial investor
David Vogt & Partner	DJD Partners TreuUnternehmen reg.	Europe	Financial investor
Franklin Resources, Inc.	Franklin Advisers, Inc.	North America	Financial investor
Power Corp. of Canada	Mackenzie Financial Corp.	North America	Financial investor
AXA SA	AllianceBernstein Ltd.	Europe	Financial investor
AGF Management Ltd.	AGF Investments, Inc.	North America	Financial investor
State Street Corp.	State Street Global Advisors Ltd. (Canada)	North America	Financial investor
Rezco Collective Investment Ltd.	Rezco Collective Investment Ltd.	Africa	Financial investor
Taiwan Cooperative Financial Holding Co. Ltd.	Taiwan Cooperative Securities Investment Trust Co., Ltd.	Asia	Financial investor
Personal Trust International Ltd.	Personal Trust International Ltd.	Africa	Financial investor
Nomura Asset Management Taiwan Ltd	Nomura Asset Management Taiwan Ltd	Asia	Financial investor
AMF Pensionsforsakring AB	AMF Fonder AB	Europe	Financial investor
SpareBank 1 Gruppen AS	ODIN Forvaltning AS	Europe	Financial investor
Voya Financial, Inc.	Voya Investment Management Co. LLC	North America	Financial investor
Bank of Montreal	BMO Asset Management, Inc.	North America	Financial investor
ClucasGray Investment Management (Pty) Ltd.	ClucasGray Investment Management (Pty) Ltd.	Africa	Financial investor
Industrial Alliance Insurance & Financial Services, Inc.	Industrial Alliance Investment Management, Inc.	North America	Financial investor
Sprott, Inc.	Sprott Asset Management LP	North America	Financial investor
Franklin Resources, Inc.	Templeton Asset Management Ltd. (Hong Kong)	Asia	Financial investor
AXA SA	AllianceBernstein Investments Taiwan Ltd.	Asia	Financial investor
IKC Holding AB	IKC Fonder AB	Europe	Financial investor
AXA SA	AllianceBernstein LP	North America	Financial investor
Banco de Credito e Inversiones SA	BCI Asset Management Administradora General de Fondos SA	Latin America	Financial investor
Bank of Nova Scotia	Scotia Administradora General de Fondos Chile SA	Latin America	Financial investor
Itau Corpbanca	Itau Chile Administradora General de Fondos SA	Latin America	Financial investor
The Principal Financial Group, Inc.	Principal Administradora General de Fondos SA	Latin America	Financial investor
KGI Securities (Thailand) Public Co., Ltd.	One Asset Management Ltd.	Asia	Financial investor
TMB Bank Public Co., Ltd.	TMB Asset Management Co., Ltd.	Asia	Financial investor
NFU Mutual Insurance Society Ltd.	NFU Mutual Investment Services Ltd.	Europe	Financial investor
Mirrabooka Investments Ltd.	Mirrabooka Investments Ltd. (Investment Management)	Pacific	Financial investor
AMCIL Ltd.	AMCIL Ltd. (Investment Management)	Pacific	Financial investor
Australian Foundation Investment Co. Ltd.	Australian Foundation Investment Co. Ltd. (Invt Mgmt)	Pacific	Financial investor
Djerriwarrh Investments Ltd.	Djerriwarrh Investments Ltd. (Investment Management)	Pacific	Financial investor
Janus Henderson Group Plc	Janus Capital Management LLC	North America	Financial investor
Valuecap Sdn. Bhd.	i-VCAP Management Sdn. Bhd.	Asia	Financial investor
Government of Iceland	IS Funds Ltd.	Europe	Financial investor
Eaton Vance Corp.	Eaton Vance Management	North America	Financial investor
Sp-Fund Management Co. Ltd.	Sp-Fund Management Co. Ltd.	Europe	Financial investor
Thrivent Financial for Lutherans	Thrivent Investment Management, Inc.	North America	Financial investor
SURA Asset Management SA	SURA Investment Management Mexico SA de CV	North America	Financial investor
Bank of Montreal	LGM Investments Ltd.	Europe	Financial investor
Power Corp. of Canada	Putnam Investment Management LLC	North America	Financial investor
Tundra Fonder AB	Tundra Fonder AB	Europe	Financial investor
Van Lanschot Kempen NV	Kempen Capital Management (UK) Ltd.	Europe	Financial investor
Lannebo & Partners AB	Lannebo Fonder AB	Europe	Financial investor
Alger Associates, Inc. (United States)	Fred Alger Management, Inc.	North America	Financial investor
Kotak Mahindra Bank Ltd.	Kotak Mahindra UK Ltd. (Singapore)	Asia	Financial investor
Liontrust Asset Management Plc	Liontrust Investment Partners LLP	Europe	Financial investor
M.M. Warburg & Co. Gruppe (GmbH & Co.) KGaA	WARBURG INVEST KAPITALANLAGEGESELLSCHAFT MBH	Europe	Financial investor
Raiffeisenlandesbank Oberosterreich AG	KEPLER-FONDS Kapitalanlagegesellschaft m.b.H	Europe	Financial investor
Federated Investors, Inc.	Federated Investment Management Co.	North America	Financial investor
Hoche Gestion Privee SA	Hoche Gestion Privee SA	Europe	Financial investor
American International Group, Inc.	SunAmerica Asset Management LLC	North America	Financial investor
Waddell & Reed Financial, Inc.	Waddell & Reed Investment Management Co.	North America	Financial investor
Unicaja Banco SA	Unigest SGIIC SA	Europe	Financial investor
GF Securities Co., Ltd.	GF Fund Management Co., Ltd.	Asia	Financial investor
Jupiter Fund Management plc	Jupiter Asset Management Ltd.	Europe	Financial investor
AGF Management Ltd.	Highstreet Asset Management, Inc.	North America	Financial investor
Precision Capital SA	KBL Richelieu Gestion SA	Europe	Financial investor
Nomura Holdings, Inc.	American Century Investment Management, Inc.	North America	Financial investor
Janus Henderson Group Plc	Henderson Global Investors (Australia) Inst. Funds Mgmt. Ltd.	Pacific	Financial investor
The Empire Life Insurance Co.	Empire Life Investments, Inc.	North America	Financial investor
Yuanta Financial Holding Co. Ltd.	Yuanta Securities Investment Trust Co., Ltd.	Asia	Financial investor
Invesco Ltd.	Invesco Asset Management (Japan) Ltd.	Asia	Financial investor
Polunin Capital Partners Pte. Ltd.	Polunin Capital Partners Ltd.	Europe	Financial investor
Euroz Ltd.	Westoz Funds Management Pty Ltd.	Pacific	Financial investor
General American Investors Co., Inc.	General American Investors Co., Inc. (Investment Management)	North America	Financial investor
Caledonia Investments Plc	Caledonia Investments Plc (Investment Management)	Europe	Financial investor
Standard Life Aberdeen Plc	Aberdeen Asset Management, Inc.	North America	Financial investor
Credito Emiliano Holding SpA	Euromobiliare Asset Management SGR SpA	Europe	Financial investor
Power Corp. of Canada	I. G. Investment Management Ltd.	North America	Financial investor
Power Corp. of Canada	I.G. International Management Ltd.	Europe	Financial investor
Guardian Capital Group Ltd.	Guardian Capital LP	North America	Financial investor
Morgan Stanley	Morgan Stanley Asia Ltd. (Investment Management)	Asia	Financial investor
FIL Ltd.	FIL Investments International (Italy)	Europe	Financial investor
Federation des caisses Desjardins du Quebec	Desjardins Global Asset Management, Inc.	North America	Financial investor
BPCE SA	Palatine Asset Management SA	Europe	Financial investor
Federated Investors, Inc.	Federated Equity Management Company of Pennsylvania	North America	Financial investor
Ariel Capital Management Holdings, Inc.	Ariel Investments LLC	North America	Financial investor
ACATIS Investment GmbH	ACATIS Investment GmbH	Europe	Financial investor
The Motley Fool Holdings, Inc.	Motley Fool Asset Management LLC	North America	Financial investor
AgaNola AG	AgaNola AG	Europe	Financial investor
Alpine Woods LP	Alpine Woods Capital Investors LLC	North America	Financial investor
Seligson & Co. Abp	Seligson & Co. Rahastoyhtio Oyj	Europe	Financial investor
Epsilon Associati SGR SpA	Epsilon Associati SGR SpA	Europe	Financial investor
Standard Life Aberdeen Plc	Aberdeen Islamic Asset Management Sdn. Bhd.	Asia	Financial investor
Valores Mexicanos Casa de Bolsa SA de CV	Operadora Valmex de Fondos de Inversion SA de CV	North America	Financial investor
Plutos Vermogensverwaltung AG	Plutos Vermogensverwaltung AG	Europe	Financial investor
Banca Mediolanum SpA	Mediolanum Gestione Fondi SGRpA	Europe	Financial investor
Fundsmith LLP	Fundsmith LLP	Europe	Financial investor
RIT Capital Partners Plc	RIT Capital Partners Plc (Invt Mgmt)	Europe	Financial investor
Stadtsparkasse Dusseldorf	Stadtsparkasse Dusseldorf (Investment Management)	Europe	Financial investor
Sun Life Financial, Inc.	MFS International Singapore Pte. Ltd.	Asia	Financial investor
Burgundy Asset Management Ltd.	Burgundy Asset Management Ltd.	North America	Financial investor
Value Intelligence Advisors GmbH	Value Intelligence Advisors GmbH	Europe	Financial investor
Lord, Abbett & Co. LLC	Lord, Abbett & Co. LLC	North America	Financial investor
SAS Rue la Boetie	Cholet Dupont Asset Management SA	Europe	Financial investor
T. Rowe Price Group, Inc.	T. Rowe Price Associates, Inc.	North America	Financial investor
AS Investment Management SARL	AS Investment Management SARL	Europe	Financial investor
Invesco Ltd.	Invesco Hong Kong Ltd.	Asia	Financial investor
SAS Rue la Boetie	Amundi Pioneer Asset Management, Inc.	North America	Financial investor
Artisan Partners Asset Management, Inc.	Artisan Partners LP	North America	Financial investor
